Mika Hakkinen,76,"['Brazil', 'Spain', 'Canada', 'Hungary', 'Japan']",27.77777777777778,1999
Mika Hakkinen,100,"['Australia', 'Brazil', 'Spain', 'Monaco', 'Austria', 'Germany', 'Luxembourg', 'Japan']",34.78260869565217,1998
